mechSSN,droneSSN
100-00-0001,SN-DRN-10001
100-00-0002,SN-DRN-10002
100-00-0003,SN-DRN-10003
100-00-0004,SN-DRN-10004
100-00-0005,SN-DRN-10005
100-00-0006,SN-DRN-10006
100-00-0007,SN-DRN-10007
100-00-0008,SN-DRN-10008
100-00-0009,SN-DRN-10009
100-00-0010,SN-DRN-10010
100-00-0011,SN-DRN-10011
100-00-0012,SN-DRN-10012
100-00-0013,SN-DRN-10013
100-00-0014,SN-DRN-10014
100-00-0015,SN-DRN-10015
100-00-0016,SN-DRN-10016
100-00-0017,SN-DRN-10017
100-00-0018,SN-DRN-10018
100-00-0019,SN-DRN-10019
100-00-0020,SN-DRN-10020
100-00-0021,SN-DRN-10021
200-00-0022,SN-DRN-10022
200-00-0023,SN-DRN-10023
200-00-0024,SN-DRN-10024
200-00-0025,SN-DRN-10025
200-00-0026,SN-DRN-10026
200-00-0027,SN-DRN-10027
200-00-0028,SN-DRN-10028
200-00-0029,SN-DRN-10029
200-00-0030,SN-DRN-10030
200-00-0031,SN-DRN-10031
200-00-0032,SN-DRN-10032
200-00-0033,SN-DRN-10033
200-00-0034,SN-DRN-10034
200-00-0035,SN-DRN-10035
200-00-0036,SN-DRN-10036
200-00-0037,SN-DRN-10037
200-00-0038,SN-DRN-10038
200-00-0039,SN-DRN-10039
200-00-0040,SN-DRN-10040
